trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
TRIP_02475_90401,11:41:00,11:41:00,STN_GTR,4,0,0
TRIP_02475_90401,11:43:00,11:43:00,STN_BCL,5,0,0
TRIP_02475_90401,11:46:00,11:46:00,STN_MX,6,0,0
TRIP_02475_90401,11:49:00,11:49:00,STN_PL,7,0,0
TRIP_02475_90401,11:52:00,11:52:00,STN_PBHD,8,0,0
TRIP_02475_90401,11:54:00,11:54:00,STN_DDR_WR,9,0,0
TRIP_02475_90401,11:56:00,11:56:00,STN_MRU,10,0,0
TRIP_02475_90401,11:59:00,11:59:00,STN_MM,11,0,0
TRIP_02475_90401,12:03:00,12:03:00,STN_BA,12,0,0
TRIP_02475_90401,12:06:00,12:06:00,STN_KHAR,13,0,0
TRIP_02475_90401,12:08:00,12:08:00,STN_STC,14,0,0
TRIP_02475_90401,12:11:00,12:11:00,STN_VLP,15,0,0
TRIP_02475_90401,12:16:00,12:16:00,STN_ADH,16,0,0
TRIP_02475_90401,12:19:00,12:19:00,STN_JOS,17,0,0
TRIP_02475_90401,12:22:00,12:22:00,STN_RMM,18,0,0
TRIP_02475_90401,12:24:00,12:24:00,STN_GMN,19,0,0
TRIP_02475_90401,12:28:00,12:28:00,STN_MDD,20,0,0
TRIP_02475_90401,12:31:00,12:31:00,STN_KILE,21,0,0
TRIP_02475_90401,12:37:00,12:37:00,STN_BVI,22,0,0
TRIP_02476_90403,11:33:00,11:33:00,STN_CCG,1,0,0
TRIP_02476_90403,11:36:00,11:36:00,STN_MEL,2,0,0
TRIP_02476_90403,11:38:00,11:38:00,STN_CYR,3,0,0
TRIP_02476_90403,11:41:00,11:41:00,STN_GTR,4,0,0
TRIP_02476_90403,11:43:00,11:43:00,STN_BCL,5,0,0
TRIP_02476_90403,11:50:00,11:50:00,STN_DDR_WR,6,0,0
TRIP_02476_90403,11:56:00,11:56:00,STN_BA,7,0,0
TRIP_02476_90403,12:06:00,12:06:00,STN_ADH,8,0,0
TRIP_02476_90403,12:20:00,12:20:00,STN_BVI,9,0,0
